role,state,party,sex,real_name,screen_name,
senator,Alabama,R,M,Richard Shelby,SenShelby,
senator,Alabama,R,M,Jeff Sessions,SenatorSessions,
senator,Alaska,R,F,Lisa Murkowski,lisamurkowski,
senator,Alaska,R,M,Dan Sullivan,SenDanSullivan,
senator,Arizona,R,M,John McCain,SenJohnMcCain,
senator,Arizona,R,M,Jeff Flake,JeffFlake,
senator,Arkansas,R,M,John Boozman,JohnBoozman,
senator,Arkansas,R,M,Tom Cotton,SenTomCotton,
senator,California,D,F,Dianne Feinstein,SenFeinstein,
senator,California,D,F,Babara Boxer,BarbaraBoxer,
senator,Colorado,D,M,Michael Bennet,SenBennetCO,
senator,Colorado,R,M,Cory Gardner,SenCoryGardner,
senator,Connecticut,D,M,Richard Blumenthal,SenBlumenthal,
senator,Connecticut,D,M,Chris Murphy,ChrisMurphyCT,
senator,Delaware,D,M,Tom Carper,SenatorCarper,
senator,Delaware,D,M,Chris Coons,ChrisCoons,
senator,Florida,D,M,Bill Nelson,SenBillNelson,
senator,Florida,R,M,Marco Rubio,marcorubio,
senator,Georgia,R,M,Johnny Isakson,SenatorIsakson,
senator,Georgia,R,M,David Perdue,sendavidperdue,
senator,Hawaii,D,F,Mazie Hirono,mazieHirono,
senator,Idaho,R,M,Mike Crapo,MikeCrapo,
senator,Idaho,R,M,Jim Risch,SenatorRisch,
senator,Illinois,D,M,Dick Durbin,SenatorDurbin,
senator,Illinois,R,M,Mark Kirk,SenatorKirk,
senator,Indiana,R,M,Dan Coats,SenDanCoats,
senator,Indiana,D,M,Joe Donnelly,SenDonnelly,
senator,Iowa,R,M,Chuck Grassley,ChuckGrassley,
senator,Iowa,R,F,Joni Ernst,SenJoniErnst,
senator,Kansas,R,M,Pat Roberts,SenPatRoberts,
senator,Kansas,R,M,Jerry Moran,JerryMoran,
senator,Kentucky,R,M,Mitch McConnell,SenateMajLdr,
senator,Kentucky,R,M,Rand Paul,RandPaul,
senator,Louisiana,R,M,David Vitter,DavidVitter,
senator,Louisiana,R,M,Bill Cassidy,BillCassidy,
senator,Maine,R,F,Susan Collins,SenatorCollins,
senator,Maine,I,M,Angus King,SenAngusKing,
senator,Maryland,D,F,Barbara Mikulski,SenatorBarb,
senator,Maryland,D,M,Ben Cardin,SenatorCardin,
senator,Massachusetts,D,F,Elizabeth Warren,SenWarren,
senator,Massachusetts,D,M,Ed Markey,SenMarkey,
senator,Michigan,D,F,Debbie Stabenow,SenStabenow,
senator,Michigan,D,M,Gary Peters,SenGaryPeters,
senator,Minnesota,D,F,Amy Klobuchar,amyklobuchar,
senator,Minnesota,D,M,Al Franken,alfranken,
senator,Mississippi,R,M,Thad Cochran,SenThadCochran,
senator,Mississippi,R,M,Roger Wicker,SenatorWicker,
senator,Missouri,D,F,Claire McCaskill,clairecmc,
senator,Missouri,R,M,Roy Blunt,RoyBlunt,
senator,Montana,D,M,Jon Tester,SenatorTester,
senator,Montana,R,M,Steve Daines,SteveDaines,
senator,Nebraska,R,F,Deb Fischer,SenatorFischer,
senator,Nebraska,R,M,Ben Sasse,BenSasse,
senator,Nevada,D,M,Harry Reid,SenatorReid,
senator,Nevada,R,M,Dean Heller,SenDeanHeller,
senator,New Hampshire,D,F,Jeanne Shaheen,SenatorShaheen,
senator,New Hampshire,R,F,Kelly Ayotte,KellyAyotte,
senator,New Jersey,D,M,Bob Menendez,SenatorMenendez,
senator,New Mexico,D,M,Tom Udall,SenatorTomUdall,
senator,New Mexico,D,M,Martin Heinrich,MartinHeinrich,
senator,New York,D,M,Chuck Schumer,SenSchumer,
senator,New York,D,F,Kirsten Gillibrand,SenGillibrand,
senator,North Carolina,R,M,Thom Tillis,ThomTillis,
senator,North Dakota,R,M,John Hoeven,SenJohnHoeven,
senator,Ohio,D,M,Sherrod Brown,SenSherrodBrown,
senator,Ohio,R,M,Rob Portman,senrobportman,
senator,Oklahoma,R,M,Jim Inhofe,jiminhofe,
senator,Oklahoma,R,M,James Lankford,SenatorLankford,
senator,Oregon,D,M,Ron Wyden,RonWyden,
senator,Oregon,D,M,Jeff Merkley,SenJeffMerkley,
senator,Pennsylvania,D,M,Bob Casey,SenBobCasey,
senator,Pennsylvania,R,M,Pat Toomey,SenToomey,
senator,Rhode Island,D,M,Jack Reed,SenJackReed,
senator,Rhode Island,D,M,Sheldon Whitehouse,SenWhitehouse,
senator,South Carolina,R,M,Lindsey Graham,GrahamBlog,
senator,South Carolina,R,M,Tim Scott,SenatorTimScott,
senator,South Dakota,R,M,John Thune,johnthune,
senator,South Dakota,R,M,Mike Rounds,SenatorRounds,
senator,Tennessee,R,M,Lamar Alexander,SenAlexander,
senator,Tennessee,R,M,Bob Corker,SenBobCorker,
senator,Texas,R,M,John Cornyn,JohnCornyn,
senator,Texas,R,M,Ted Cruz,tedcruz,
senator,Utah,R,M,Orrin Hatch,OrrinHatch,
senator,Utah,R,M,Mike Lee,SenMikeLee,
senator,Vermont,D,M,Patrick Leahy,SenatorLeahy,
senator,Vermont,D,M,Bernie Sanders,BernieSanders,
senator,Virginia,D,M,Mark Warner,MarkWarner,
senator,Virginia,D,M,Tim Kaine,timkaine,
senator,Washington,D,F,Patty Murray,PattyMurray,
senator,Washington,D,F,Maria Cantwell,SenatorCantwell,
senator,West Virginia,D,M,Joe Manchin,Sen_JoeManchin,
senator,West Virginia,R,F,Shelley Moore Capito,SenCapito,
senator,Wisconsin,R,M,Ron Johnson,SenRonJohnson,
senator,Wisconsin,D,F,Tammy Baldwin,tammybaldwin,
senator,Wyoming,R,M,Mike Enzi,SenatorEnzi,
senator,Wyoming,R,M,John Barrasso,SenJohnBarrasso,
representative,Alabama,R,M,Bradley Byrne,RepByrne,
representative,Alabama,R,F,Martha Roby,RepMarthaRoby,
representative,Alabama,R,M,Mike Rogers,RepMikeRogersAL,another with same name
representative,Alabama,R,M,Robert Aderholt,Robert_Aderholt,
representative,Alabama,R,M,Mo Brooks,RepMoBrooks,
representative,Alabama,R,M,Gary Palmer,USRepGaryPalmer,
representative,Alabama,D,F,Terri A.Sewell,RepTerriSewell,
representative,Alaska,R,M,Don Young,repdonyoung,
representative,American Samoa,R,F,Amata Radewagen,RepAmata,
representative,Arizona,D,F,Ann Kirkpatrick,RepKirkpatrick,
representative,Arizona,R,F,Martha McSally,RepMcSally,
representative,Arizona,D,M,Raul Grijalva,RepRaulGrijalva,
representative,Arizona,R,M,Paul Gosar,RepGosar,
representative,Arizona,R,M,Matt Salmon,RepMattSalmon,
representative,Arizona,R,M,David Schweikert,RepDavid,
representative,Arizona,D,M,Ruben Gallego,RepRubenGallego,
representative,Arizona,R,M,Trent Franks,RepTrentFranks,
representative,Arizona,D,F,Kyrsten Sinema,RepSinema,
representative,Arkansas,R,M,Rick Crawford,RepRickCrawford,
representative,Arkansas,R,M,French Hill,RepFrenchHill,
representative,Arkansas,R,M,Steve Womack,Steve Womack,
representative,Arkansas,R,M,Bruce Westerman,RepWesterman,
representative,California,R,M,Doug LaMalfa,RepLaMalfa,
representative,California,D,M,Jared Huffman,RepHuffman,
representative,California,D,M,John Garamendi,RepGaramendi,
representative,California,R,M,Tom McClintock,RepMcClintock,
representative,California,D,M,Mike Thompson,RepThompson,
representative,California,D,F,Doris Matsui,DorisMatsui,
representative,California,D,F,Ami Bera,RepBera,
representative,California,R,M,Paul Cook,RepPaulCook,
representative,California,D,M,Jerry McNerney,RepMcNerney,
representative,California,R,M,Jeff Denham,RepJeffDenham,
representative,California,D,M,Mark Desaulnier,RepDesaulnier,
representative,California,D,F,Nancy Pelosi,Nancy Pelosi,
representative,California,D,F,Barbara Lee,RepBarbaraLee,
representative,California,D,M,Jackie Speier,RepSpeier,
representative,California,D,M,Eric Swalwell,RepSwalwell,
representative,California,D,M,Jim Costa,RepJimCosta,
representative,California,D,M,Mike Honda,RepMikeHonda,
representative,California,D,F,Anna G. Eshoo,RepAnnaEshoo,
representative,California,D,F,Zoe Lofgren,RepZoeLofgren,
representative,California,D,M,Sam Farr,SamFarr,
representative,California,R,M,David Valadao,RepDavidValadao,
representative,California,R,M,Devin Nunes,Rep_DevinNunes,
representative,California,R,M,Kevin McCarthy,Kevinmccarthy,
representative,California,D,F,Lois Capps,RepLoisCapps,
representative,California,R,M,Steve Knight,SteveKnight25,
representative,California,D,F,Julia Brownley,JuliaBrownley26,
representative,California,D,F,Judy Chu,RepJudyChu,
representative,California,D,M,Adam Schiff,RepAdamSchiff,
representative,California,D,M,Tony Cardenas,RepCardenas,
representative,California,D,M,Brad Sherman,BradSherman,
representative,California,D,M,Pete Aguilar,RepPeteAguilar,
representative,California,D,F,Grace Napolitano,gracenapolitano,
representative,California,D,M,Ted Lieu,RepTedLieu,
representative,California,D,M,Xavier Becerra,RepBecerra,
representative,California,D,F,Norma Torres,NormaJTorres,
representative,California,D,M,Raul Ruiz,CongressmanRuiz,
representative,California,D,F,Karen Bass,RepKarenBass,
representative,California,D,F,Linda Sanchez,RepLindaSanchez,
representative,California,R,M,Ed Royce,RepEdRoyce,
representative,California,D,F,Lucille Roybal-Allard,RepRoybalAllard,
representative,California,D,M,Mark Takano,RepMarkTakano,
representative,California,R,M,Ken Calvert,KenCalvert,
representative,California,D,F,Maxine Waters,MaxineWaters,
representative,California,D,F,Janice Hahn,Rep_JaniceHahn,
representative,California,R,F,Mimi Walters,RepMimiWalters,
representative,California,D,F,Loretta Sanchez,LorettaSanchez,
representative,California,D,M,Alan Lowenthal,RepLowenthal,
representative,California,R,F,Dana Rohrabacher,DanaRohrabacher,
representative,California,R,M,Darrell Issa,DarrellIssa,
representative,California,R,M,Duncan D. Hunter,Rep_Hunter,
representative,California,D,M,Juan Vargas,RepJuanVargas,
representative,California,D,M,Scott Peters,RepScottPeters,
representative,California,D,F,Susan Davis,RepSusanDavis,
representative,Colorado,D,F,Diana DeGette,RepDianaDeGette,
representative,Colorado,D,M,Jared Polis,RepJaredPolis,
representative,Colorado,R,M,Scott Tipton,RepTipton,
representative,Colorado,R,M,Ken Buck,RepKenBuck,
representative,Colorado,R,M,Doug Lamborn,RepDLamborn,
representative,Colorado,R,M,Mike Coffman,RepMikeCoffman,
representative,Colorado,D,M,Ed Perlmutter,RepPerlmutter,
representative,Connecticut,D,M,John Larson,RepJohnLarson,
representative,Connecticut,D,M,Joe Courtney,RepJoeCourtney,
representative,Connecticut,D,F,Rosa DeLauro,rosadeLauro,
representative,Connecticut,D,M,Jim Himes,jahimes,
representative,Connecticut,D,F,Elizabeth Esty,RepEsty,
representative,Delaware,D,M,John Carney,JohnCarneyDE,
representative,District O Columbia,D,F,Eleanor H. Norton,EleanorNorton,
representative,Florida,R,M,Jeff Miller,RepJeffMiller,
representative,Florida,D,F,Gwen Graham,RepGwenGraham,
representative,Florida,R,M,Ted Yoho,RepTedYoho,
representative,Florida,R,M,Ander Crenshaw,AnderCrenshaw,
representative,Florida,D,F,Corrine Brown,RepCorrineBrown,
representative,Florida,R,M,Ron DeSantis,RepDeSantis,
representative,Florida,R,M,John Mica,NONE,
representative,Florida,D,M,Alan Grayson,AlanGrayson,
representative,Florida,R,M,Daniel Webster,RepWebster,
representative,Florida,R,M,Richard Nugent,RepRichNugent,
representative,Florida,R,M,Gus Bilirakis,RepGusBilirakis,
representative,Florida,R,M,David Jolly,USRepDavidJolly,
representative,Florida,D,F,Kathy Castor,USRepKCastor,
representative,Florida,R,M,Dennis Ross,RepDennisRoss,
representative,Florida,R,M,Vern Buchanan,VernBuchanan,
representative,Florida,R,M,Tom Rooney,TomRooney,
representative,Florida,D,M,Patrick Murphy,RepMurphyFL,
representative,Florida,R,M,Curt Clawson,RepCurtClawson,
representative,Florida,D,M,Ted Deutch,RepTedDeutch,
representative,Florida,D,F,Lois Frankel,RepLoisFrankel,
representative,Florida,D,F,Debbie Wasserman Schultz,RepDWStweets,
representative,Florida,D,F,Frederica Wilson,RepWilson,
representative,Florida,R,M,Mario Diaz-Balart,MarioDB,
representative,Florida,R,M,Carlos Curbelo,RepCurbelo,
representative,Florida,R,F,Ileana Ros-Lehtinen,RosLehtinen,
